kind,event,lag,mean_corr
crash onset,569335,80,0.6325199007987976
crash onset,569335,90,0.6248365044593811
crash onset,570302,-20,0.36410075426101685
crash onset,570302,-10,0.27539628744125366
crash onset,570302,0,0.26884400844573975
crash onset,570302,10,0.34862127900123596
crash onset,570302,20,0.41566333174705505
crash onset,570302,30,0.4812774956226349
crash onset,570302,40,0.49679091572761536
crash onset,570302,50,0.5504805445671082
crash onset,570302,60,0.5330407023429871
crash onset,570302,70,0.5445178747177124
crash onset,570302,80,0.4924667477607727
crash onset,570302,90,0.4990541636943817
crash onset,570915,-90,0.32808351516723633
crash onset,570915,-80,0.3742130696773529
crash onset,570915,-70,0.32591819763183594
crash onset,570915,-60,0.39278364181518555
crash onset,570915,-50,0.4144218862056732
crash onset,570915,-40,0.4493817389011383
crash onset,570915,-30,0.3774665296077728
crash onset,570915,-20,0.3874737620353699
crash onset,570915,-10,0.4453084170818329
crash onset,570915,0,0.4252152740955353
crash onset,570915,10,0.422056645154953
crash onset,570915,20,0.388957142829895
crash onset,570915,30,0.45191946625709534
crash onset,570915,40,0.3999456465244293
crash onset,570915,50,0.5897303819656372
crash onset,570915,60,0.5953292846679688
crash onset,570915,70,0.6273786425590515
crash onset,570915,80,0.6771495342254639
crash onset,570915,90,0.7447830438613892
crash onset,575008,-50,0.5637630224227905
crash onset,575008,-40,0.43199774622917175
crash onset,575008,-30,0.27726536989212036
crash onset,575008,-20,0.24074187874794006
crash onset,575008,-10,0.26474669575691223
crash onset,575008,0,0.39755499362945557
crash onset,575008,10,0.4123545289039612
crash onset,575008,20,0.5000487565994263
crash onset,575008,30,0.5651699304580688
crash onset,575008,40,0.5609060525894165
crash onset,575008,50,0.584054708480835
crash onset,575008,60,0.4904310405254364
crash onset,575008,70,0.49929100275039673
crash onset,575008,80,0.3915306329727173
crash onset,575008,90,0.515554666519165
crash onset,576838,-90,0.47912007570266724
crash onset,576838,-80,0.4996541738510132
crash onset,576838,-70,0.3817715048789978
crash onset,576838,-60,0.4015192985534668
crash onset,576838,-50,0.4330196678638458
crash onset,576838,-40,0.5123107433319092
crash onset,576838,-30,0.5968688130378723
crash onset,576838,-20,0.5894060730934143
crash onset,576838,-10,0.5921462178230286
crash onset,576838,0,0.5940334796905518
crash onset,576838,10,0.6087539196014404
crash onset,576838,20,0.6101748943328857
crash onset,576838,30,0.6564606428146362
crash onset,576838,40,0.6375115513801575
crash onset,576838,50,0.6473470330238342
crash onset,576838,60,0.577427089214325
crash onset,577315,-10,0.4945363402366638
crash onset,577315,0,0.40111830830574036
crash onset,577315,10,0.3843556344509125
crash onset,577315,20,0.42543861269950867
crash onset,577315,30,0.4650806486606598
crash onset,577315,40,0.5252081155776978
crash onset,577315,50,0.5095869302749634
crash onset,577315,60,0.47938236594200134
crash onset,577315,70,0.48395678400993347
crash onset,577315,80,0.47494831681251526
crash onset,577315,90,0.5325757265090942
crash onset,578116,-30,0.4447697401046753
crash onset,578116,-20,0.429267019033432
crash onset,578116,-10,0.35247913002967834
crash onset,578116,0,0.3605559766292572
crash onset,578116,10,0.38280928134918213
crash onset,578116,20,0.3676259219646454
crash onset,578116,30,0.3671661615371704
